List of element properties used by MoloVol program.
https://github.com/jmaglic/MoloVol
Version: 2021-06-23

References:
- vdW radii
  S. Alvarez, Dalton Trans. 2013, 42, 8617-8636. 
  https://doi.org/10.1039/C3DT50599E

- Ionic radii
  R. D. Shannon, Acta Cryst. A 1976, 32, 751-767.
  https://doi.org/10.1107/S0567739476001551
  http://abulafia.mt.ic.ac.uk/shannon/ptable.php

- Atomic weights
  J. Meija et al., Pure Appl. Chem. 2016, 88, 265–291.
  https://doi.org/10.1515/pac-2015-0305

Notes: 
- Undefined radii values from references are replaced by 0.
- Unreferenced atomic weights for artificial elements are given as their closest known integer value.
- When several ionic radii are reported, the value selected for this table followed the rules in order:
	- labelled "most reliable" (the one closest to the charge number if more than one)
	- coordination number corresponding to the most commonly found metal complexes
	- coordination number corresponding to the charge for non-metals (or lowest value if not applicable)

Number	Element	vdW Radius (A)	Atomic weight
1	H	1.2		1.008
2	He	1.43		4.003
3	Li	2.12		6.94
4	Be	1.98		9.012
5	B	1.91		10.81
6	C	1.77		12.011
7	N	1.66		14.007
8	O	1.5		15.999
9	F	1.46		18.998
10	Ne	1.58		20.18
11	Na	2.5		22.99
12	Mg	2.51		24.305
13	Al	2.25		26.982
14	Si	2.19		28.085
15	P	1.9		30.974
16	S	1.89		32.06
17	Cl	1.82		35.45
18	Ar	1.83		39.948
19	K	2.73		39.098
20	Ca	2.62		40.078
21	Sc	2.58		44.956
22	Ti	2.46		47.867
23	V	2.42		50.942
24	Cr	2.45		51.996
25	Mn	2.45		54.938
26	Fe	2.44		55.845
27	Co	2.4		58.933
28	Ni	2.4		58.693
29	Cu	2.38		63.546
30	Zn	2.39		65.38
31	Ga	2.32		69.723
32	Ge	2.29		72.63
33	As	1.88		74.922
34	Se	1.82		78.971
35	Br	1.86		79.904
36	Kr	2.25		83.798
37	Rb	3.21		85.468
38	Sr	2.84		87.62
39	Y	2.75		88.906
40	Zr	2.52		91.224
41	Nb	2.56		92.906
42	Mo	2.45		95.95
43	Tc	2.44		98
44	Ru	2.46		101.07
45	Rh	2.44		102.906
46	Pd	2.15		106.42
47	Ag	2.53		107.868
48	Cd	2.49		112.414
49	In	2.43		114.818
50	Sn	2.42		118.71
51	Sb	2.47		121.76
52	Te	1.99		127.6
53	I	2.04		126.904
54	Xe	2.06		131.293
55	Cs	3.48		132.905
56	Ba	3.03		137.327
57	La	2.98		138.905
58	Ce	2.88		140.116
59	Pr	2.92		140.908
60	Nd	2.95		144.242
61	Pm	0		145
62	Sm	2.9		150.36
63	Eu	2.87		151.964
64	Gd	2.83		157.25
65	Tb	2.79		158.925
66	Dy	2.87		162.5
67	Ho	2.81		164.93
68	Er	2.73		167.259
69	Tm	2.79		168.934
70	Yb	2.8		173.054
71	Lu	2.74		174.967
72	Hf	2.63		178.49
73	Ta	2.53		180.948
74	W	2.57		183.84
75	Re	2.49		186.207
76	Os	2.48		190.23
77	Ir	2.41		192.217
78	Pt	2.29		195.084
79	Au	2.32		196.967
80	Hg	2.45		200.592
81	Tl	2.47		204.38
82	Pb	2.6		207.2
83	Bi	2.54		208.98
84	Po	0		209
85	At	0		210
86	Rn	0		222
87	Fr	0		223
88	Ra	0		226
89	Ac	2.8		227
90	Th	2.93		232.038
91	Pa	2.88		231.036
92	U	2.71		238.029
93	Np	2.82		237
94	Pu	2.81		244
95	Am	2.83		243
96	Cm	3.05		247
97	Bk	3.4		247
98	Cf	3.05		251
99	Es	2.7		252
100	Fm	0		257
101	Md	0		258
102	No	0		259
103	Lr	0		266
104	Rf	0		267
105	Db	0		268
106	Sg	0		269
107	Bh	0		270
108	Hs	0		277
109	Mt	0		278
110	Ds	0		281
111	Rg	0		282
112	Cn	0		285
113	Nh	0		286
114	Fl	0		289
115	Mc	0		289
116	Lv	0		293
117	Ts	0		294
118	Og	0		294

Number	Element	Ionic Rad (A)Atomic weight
3	Li+	0.76		6.94
4	Be2+	0.27		9.012
5	B3+	0.11		10.81
6	C4+	0.15		12.011
7	N-3	1.46		14.007
7	N+3	0.16		14.007
7	N+5	0.13		14.007
8	O2-	1.35		15.999
9	F-	1.285		18.998
9	F7+	0.08		18.998
11	Na+	1.02		22.99
12	Mg2+	0.72		24.305
13	Al3+	0.53		26.982
14	Si4+	0.26		28.085
15	P3+	0.44		30.974
15	P5+	0.17		30.974
16	S2-	1.84		32.06
16	S4+	0.37		32.06
16	S6+	0.12		32.06
17	Cl-	1.81		35.45
17	Cl5+	0.12		35.45
17	Cl7+	0.08		35.45
19	K+	1.38		39.098
20	Ca2+	1.06		40.078
21	Sc3+	0.745		44.956
22	Ti2+	0.86		47.867
22	Ti3+	0.67		47.867
22	Ti4+	0.605		47.867
23	V2+	0.79		50.942
23	V3+	0.64		50.942
23	V4+	0.58		50.942
23	V5+	0.46		50.942
24	Cr2+	0.8		51.996
24	Cr3+	0.615		51.996
24	Cr4+	0.41		51.996
24	Cr5+	0.345		51.996
24	Cr6+	0.44		51.996
25	Mn2+	0.83		54.938
25	Mn3+	0.645		54.938
25	Mn4+	0.53		54.938
25	Mn5+	0.33		54.938
25	Mn6+	0.255		54.938
25	Mn7+	0.46		54.938
26	Fe2+	0.78		55.845
26	Fe3+	0.645		55.845
26	Fe4+	0.585		55.845
26	Fe6+	0.25		55.845
27	Co2+	0.745		58.933
27	Co3+	0.545		58.933
27	Co4+	0.53		58.933
28	Ni2+	0.69		58.693
28	Ni3+	0.56		58.693
28	Ni4+	0.48		58.693
29	Cu+	0.6		63.546
29	Cu2+	0.57		63.546
29	Cu3+	0.54		63.546
30	Zn2+	0.74		65.38
31	Ga3+	0.62		69.723
32	Ge2+	0.73		72.63
32	Ge4+	0.53		72.63
33	As3+	0.58		74.922
33	As5+	0.335		74.922
34	Se2-	1.98		78.971
34	Se4+	0.5		78.971
34	Se6+	0.28		78.971
35	Br-	1.96		79.904
35	Br3+	0.59		79.904
35	Br5+	0.31		79.904
35	Br7+	0.39		79.904
37	Rb+	1.52		85.468
38	Sr2+	1.18		87.62
39	Y3+	0.9		88.906
40	Zr4+	0.72		91.224
41	Nb3+	0.72		92.906
41	Nb4+	0.68		92.906
41	Nb5+	0.64		92.906
42	Mo3+	0.69		95.95
42	Mo4+	0.65		95.95
42	Mo5+	0.61		95.95
42	Mo6+	0.59		95.95
43	Tc4+	0.645		98
43	Tc5+	0.6		98
43	Tc6+	0.56		98
44	Ru3+	0.68		101.07
44	Ru4+	0.62		101.07
44	Ru5+	0.565		101.07
44	Ru7+	0.38		101.07
44	Ru8+	0.36		101.07
45	Rh3+	0.665		102.906
45	Rh4+	0.6		102.906
45	Rh5+	0.55		102.906
46	Pd+	0.59		106.42
46	Pd2+	0.64		106.42
46	Pd3+	0.76		106.42
46	Pd4+	0.615		106.42
47	Ag+	1.0		107.868
47	Ag2+	0.79		107.868
47	Ag3+	0.67		107.868
48	Cd2+	0.95		112.414
49	In3+	0.8		114.818
50	Sn4+	0.69		118.71
51	Sb3+	0.8		121.76
51	Sb5+	0.6		121.76
52	Te2-	2.21		127.6
52	Te4+	0.66		127.6
52	Te6+	0.56		127.6
53	I-	2.2		126.904
53	I5+	0.44		126.904
53	I7+	0.53		126.904
54	Xe8+	0.48		131.293
55	Cs+	1.67		132.905
56	Ba2+	1.35		137.327
57	La3+	1.216		138.905
58	Ce3+	1.196		140.116
58	Ce4+	0.97		140.116
59	Pr3+	1.179		140.908
59	Pr4+	0.96		140.908
60	Nd2+	1.35		144.242
60	Nd3+	1.109		144.242
61	Pm3+	1.144		145
62	Sm2+	1.32		150.36
62	Sm3+	1.132		150.36
63	Eu2+	1.3		151.964
63	Eu3+	1.12		151.964
64	Gd3+	1.107		157.25
65	Tb3+	1.095		158.925
65	Tb4+	0.88		158.925
66	Dy2+	1.19		162.5
66	Dy3+	1.083		162.5
67	Ho3+	1.072		164.93
68	Er3+	1.062		167.259
69	Tm2+	1.09		168.934
69	Tm3+	1.052		168.934
70	Yb2+	1.14		173.054
70	Yb3+	0.868		173.054
71	Lu3+	0.861		174.967
72	Hf4+	0.71		178.49
73	Ta3+	0.72		180.948
73	Ta4+	0.68		180.948
73	Ta5+	0.64		180.948
74	W4+	0.66		183.84
74	W5+	0.62		183.84
74	W6+	0.6		183.84
75	Re4+	0.63		186.207
75	Re5+	0.58		186.207
75	Re6+	0.55		186.207
75	Re7+	0.53		186.207
76	Os4+	0.63		190.23
76	Os5+	0.575		190.23
76	Os6+	0.545		190.23
76	Os7+	0.525		190.23
76	Os8+	0.39		190.23
77	Ir3+	0.68		192.217
77	Ir4+	0.625		192.217
77	Ir5+	0.57		192.217
78	Pt2+	0.6		195.084
78	Pt4+	0.625		195.084
78	Pt5+	0.57		195.084
79	Au+	1.37		196.967
79	Au3+	0.85		196.967
79	Au5+	0.57		196.967
80	Hg+	1.19		200.592
80	Hg2+	1.02		200.592
81	Tl+	1.5		204.38
81	Tl3+	0.885		204.38
82	Pb2+	1.19		207.2
82	Pb4+	0.775		207.2
83	Bi3+	1.03		208.98
83	Bi5+	0.76		208.98
84	Po4+	0.94		209
84	Po6+	0.67		209
85	At7+	0.62		210
87	Fr+	1.8		223
88	Ra2+	1.48		226
89	Ac3+	1.12		227
90	Th4+	1.09		232.038
91	Pa3+	1.04		231.036
91	Pa4+	1.01		231.036
91	Pa5+	0.95		231.036
92	U3+	1.025		238.029
92	U4+	1.0		238.029
92	U5+	0.76		238.029
92	U6+	0.73		238.029
93	Np2+	1.1		237
93	Np3+	1.01		237
93	Np4+	0.87		237
93	Np5+	0.75		237
93	Np6+	0.72		237
93	Np7+	0.71		237
94	Pu3+	1.0		244
94	Pu4+	0.86		244
94	Pu5+	0.74		244
94	Pu6+	0.71		244
95	Am2+	1.31		243
95	Am3+	1.09		243
95	Am4+	0.95		243
96	Cm3+	0.97		247
96	Cm4+	0.95		247
97	Bk3+	0.96		247
97	Bk4+	0.93		247
98	Cf3+	0.95		251
98	Cf4+	0.92		251
102	No2+	1.1		259
