List of element radii used by MoloVol program.
https://github.com/jmaglic/MoloVol
Version: 2021-05-27

Reference:
S. Alvarez, Dalton Trans. 2013, 42, 8617-8636. 
https://doi.org/10.1039/C3DT50599E

Number	Element	vdw radius
1	H	1.20
2	He	1.43
3	Li	2.12
4	Be	1.98
5	B	1.91
6	C	1.77
7	N	1.66
8	O	1.50
9	F	1.46
10	Ne	1.58
11	Na	2.50
12	Mg	2.51
13	Al	2.25
14	Si	2.19
15	P	1.90
16	S	1.89
17	Cl	1.82
18	Ar	1.83
19	K	2.73
20	Ca	2.62
21	Sc	2.58
22	Ti	2.46
23	V	2.42
24	Cr	2.45
25	Mn	2.45
26	Fe	2.44
27	Co	2.40
28	Ni	2.40
29	Cu	2.38
30	Zn	2.39
31	Ga	2.32
32	Ge	2.29
33	As	1.88
34	Se	1.82
35	Br	1.86
36	Kr	2.25
37	Rb	3.21
38	Sr	2.84
39	Y	2.75
40	Zr	2.52
41	Nb	2.56
42	Mo	2.45
43	Tc	2.44
44	Ru	2.46
45	Rh	2.44
46	Pd	2.15
47	Ag	2.53
48	Cd	2.49
49	In	2.43
50	Sn	2.42
51	Sb	2.47
52	Te	1.99
53	I	2.04
54	Xe	2.06
55	Cs	3.48
56	Ba	3.03
57	La	2.98
58	Ce	2.88
59	Pr	2.92
60	Nd	2.95
61	Pm	0
62	Sm	2.90
63	Eu	2.87
64	Gd	2.83
65	Tb	2.79
66	Dy	2.87
67	Ho	2.81
68	Er	2.73
69	Tm	2.79
70	Yb	2.80
71	Lu	2.74
72	Hf	2.63
73	Ta	2.53
74	W	2.57
75	Re	2.49
76	Os	2.48
77	Ir	2.41
78	Pt	2.29
79	Au	2.32
80	Hg	2.45
81	Tl	2.47
82	Pb	2.60
83	Bi	2.54
84	Po	0
85	At	0
86	Rn	0
87	Fr	0
88	Ra	0
89	Ac	2.80
90	Th	2.93
91	Pa	2.88
92	U	2.71
93	Np	2.82
94	Pu	2.81
95	Am	2.83
96	Cm	3.05
97	Bk	3.40
98	Cf	3.05
99	Es	2.70
100	Fm	0
101	Md	0
102	No	0
103	Lr	0
104	Rf	0
105	Db	0
106	Sg	0
107	Bh	0
108	Hs	0
109	Mt	0
110	Ds	0
111	Rg	0
112	Cn	0
113	Nh	0
114	Fl	0
115	Mc	0
116	Lv	0
117	Ts	0
118	Og	0
